[dprof] enabled, 65536 marks
engine: 57604 tensors, 98.15 GiB resident, 45 layers, max_ctx 512
engine: 34 KDA layers (145.56 MiB state, context-independent), 11 full-attn layers (11.00 MiB latent cache at 512 ctx)
streaming read RIGHT NOW: 246.8 GB/s  (model resident; phases are priced against THIS)

wall: 6085.64 ms for 24 steps = 253.57 ms/tok = 3.94 tok/s
roofline at 246.8 GB/s with B_tok 19.761 G: 12.49 tok/s  ->  we are at 32%

[dprof] AR decode — decode step by sub-op, summed over 24 step(s) and all layers
[dprof] phase                        ms       %    calls     GB/tok     GB/s     %BW
[dprof] hc:pre_attn               59.80    1.0%     1080      0.035     14.2      6%
[dprof] norm:attn                  7.23    0.1%     1080          -        -       -
[dprof] ATTENTION               1638.11   27.0%     1080     11.950    175.1     71%
[dprof] hc:post_attn               6.83    0.1%     1080          -        -       -
[dprof] hc:pre_ffn                58.98    1.0%     1080      0.035     14.4      6%
[dprof] norm:ffn                   7.57    0.1%     1080          -        -       -
[dprof] FFN                     4145.85   68.2%     1080      6.307     36.5     15%
[dprof] hc:post_ffn                6.86    0.1%     1080          -        -       -
[dprof] embed                      0.25    0.0%       24          -        -       -
[dprof] head:mean                  0.32    0.0%       24          -        -       -
[dprof] lm_head                  142.94    2.4%       24      1.269    213.1     86%
[dprof]   attn:kda              1260.73   20.8%      816      9.366    178.3     72%
[dprof]   attn:mla               374.87    6.2%      264      2.584    165.4     67%
[dprof]     kda:qkv+conv         780.02   12.8%      816      6.850    210.8     85%
[dprof]     kda:gates            167.00    2.7%      816      0.500     71.9     29%
[dprof]     kda:norm_qk            4.53    0.1%      816          -        -       -
[dprof]     kda:recurrence        35.41    0.6%      816      0.305    206.7     84%
[dprof]     kda:out_norm           5.59    0.1%      816          -        -       -
[dprof]     kda:o_proj           260.41    4.3%      816      2.283    210.4     85%
[dprof]     mla:indexer            8.88    0.1%      264      0.164    443.2    180%
[dprof]     mla:absorb_q          24.33    0.4%      264          -        -       -
[dprof]     mla:sdpa              15.05    0.2%      264          -        -       -
[dprof]     mla:o_proj           209.46    3.4%      264          -        -       -
[dprof]   ffn:moe               4037.94   66.5%     1008      5.703     33.9     14%
[dprof]   ffn:dense              105.38    1.7%       72      0.604    137.6     56%
[dprof]     moe:router            26.94    0.4%     1008      0.352    313.6    127%
[dprof]     moe:w13+act         2608.75   42.9%     1008      3.567     32.8     13%
[dprof]     moe:w2+combine      1396.25   23.0%     1008      1.784     30.7     12%
[dprof] TOTAL                   6074.75  (253.11 ms/step, 3.95 tok/s)
