[dprof] enabled, 65536 marks
engine: 57604 tensors, 98.15 GiB resident, 45 layers, max_ctx 512
engine: 34 KDA layers (145.56 MiB state, context-independent), 11 full-attn layers (11.00 MiB latent cache at 512 ctx)
streaming read RIGHT NOW: 188.2 GB/s  (model resident; phases are priced against THIS)

wall: 3134.74 ms for 24 steps = 130.61 ms/tok = 7.66 tok/s
roofline at 188.2 GB/s with B_tok 19.761 G: 9.53 tok/s  ->  we are at 80%

[dprof] AR decode — decode step by sub-op, summed over 24 step(s) and all layers
[dprof] phase                        ms       %    calls     GB/tok     GB/s     %BW
[dprof] hc:pre_attn               60.30    1.9%     1080      0.035     14.1      8%
[dprof] norm:attn                  7.66    0.2%     1080          -        -       -
[dprof] ATTENTION               1747.51   55.9%     1080     11.950    164.1     87%
[dprof] hc:post_attn               6.69    0.2%     1080          -        -       -
[dprof] hc:pre_ffn                58.85    1.9%     1080      0.035     14.5      8%
[dprof] norm:ffn                   7.99    0.3%     1080          -        -       -
[dprof] FFN                     1080.65   34.6%     1080      6.307    140.1     74%
[dprof] hc:post_ffn                5.27    0.2%     1080          -        -       -
[dprof] embed                      0.16    0.0%       24          -        -       -
[dprof] head:mean                  0.29    0.0%       24          -        -       -
[dprof] lm_head                  148.46    4.8%       24      1.269    205.1    109%
[dprof]   attn:kda              1328.57   42.5%      816      9.366    169.2     90%
[dprof]   attn:mla               416.35   13.3%      264      2.584    149.0     79%
[dprof]     kda:qkv+conv         819.91   26.2%      816      6.850    200.5    107%
[dprof]     kda:gates            171.47    5.5%      816      0.500     70.0     37%
[dprof]     kda:norm_qk            4.45    0.1%      816          -        -       -
[dprof]     kda:recurrence        38.24    1.2%      816      0.305    191.4    102%
[dprof]     kda:out_norm           5.32    0.2%      816          -        -       -
[dprof]     kda:o_proj           281.66    9.0%      816      2.283    194.5    103%
[dprof]     mla:indexer            8.28    0.3%      264          -        -       -
[dprof]     mla:absorb_q          36.84    1.2%      264          -        -       -
[dprof]     mla:sdpa              15.05    0.5%      264          -        -       -
[dprof]     mla:o_proj           232.75    7.5%      264          -        -       -
[dprof]   ffn:moe                967.57   31.0%     1008      5.401    134.0     71%
[dprof]   ffn:dense              110.53    3.5%       72      0.906    196.7    105%
[dprof]     moe:router            27.74    0.9%     1008      0.050     43.3     23%
[dprof]     moe:w13+act          615.35   19.7%     1008      3.568    139.2     74%
[dprof]     moe:w2+combine       319.25   10.2%     1008      1.783    134.0     71%
[dprof] TOTAL                   3123.83  (130.16 ms/step, 7.68 tok/s)
