[dprof] enabled, 65536 marks
engine: 57604 tensors, 98.15 GiB resident, 45 layers, max_ctx 512
engine: 34 KDA layers (145.56 MiB state, context-independent), 11 full-attn layers (11.00 MiB latent cache at 512 ctx)
streaming read RIGHT NOW: 234.1 GB/s  (model resident; phases are priced against THIS)

wall: 2978.18 ms for 24 steps = 124.09 ms/tok = 8.06 tok/s
roofline at 234.1 GB/s with B_tok 19.761 G: 11.85 tok/s  ->  we are at 68%

[dprof] AR decode — decode step by sub-op, summed over 24 step(s) and all layers
[dprof] phase                        ms       %    calls     GB/tok     GB/s     %BW
[dprof] hc:pre_attn               29.48    1.0%     1080      0.035     28.9     12%
[dprof] norm:attn                  7.19    0.2%     1080          -        -       -
[dprof] ATTENTION               1667.69   56.2%     1080     11.950    172.0     73%
[dprof] hc:post_attn               5.22    0.2%     1080          -        -       -
[dprof] hc:pre_ffn                29.64    1.0%     1080      0.035     28.7     12%
[dprof] norm:ffn                   7.11    0.2%     1080          -        -       -
[dprof] FFN                     1063.88   35.9%     1080      6.307    142.3     61%
[dprof] hc:post_ffn                5.47    0.2%     1080          -        -       -
[dprof] embed                      0.16    0.0%       24          -        -       -
[dprof] head:mean                  0.36    0.0%       24          -        -       -
[dprof] lm_head                  151.11    5.1%       24      1.269    201.5     86%
[dprof]   attn:kda              1240.23   41.8%      816      9.366    181.2     77%
[dprof]   attn:mla               424.74   14.3%      264      2.584    146.0     62%
[dprof]     kda:qkv+conv         823.63   27.8%      816      6.850    199.6     85%
[dprof]     kda:gates             80.20    2.7%      816      0.500    149.6     64%
[dprof]     kda:norm_qk            4.57    0.2%      816          -        -       -
[dprof]     kda:recurrence        37.18    1.3%      816      0.305    196.9     84%
[dprof]     kda:out_norm           5.80    0.2%      816          -        -       -
[dprof]     kda:o_proj           280.93    9.5%      816      2.283    195.0     83%
[dprof]     mla:indexer            8.67    0.3%      264          -        -       -
[dprof]     mla:absorb_q          40.14    1.4%      264          -        -       -
[dprof]     mla:sdpa              14.89    0.5%      264          -        -       -
[dprof]     mla:o_proj           235.20    7.9%      264          -        -       -
[dprof]   ffn:moe                949.70   32.0%     1008      5.401    136.5     58%
[dprof]   ffn:dense              111.59    3.8%       72      0.906    194.9     83%
[dprof]     moe:router            28.50    1.0%     1008      0.050     42.1     18%
[dprof]     moe:w13+act          637.32   21.5%     1008      3.568    134.4     57%
[dprof]     moe:w2+combine       278.53    9.4%     1008      1.783    153.6     66%
[dprof] TOTAL                   2967.30  (123.64 ms/step, 8.09 tok/s)
