[dprof] enabled, 65536 marks
engine: 57604 tensors, 98.15 GiB resident, 45 layers, max_ctx 512
engine: 34 KDA layers (145.56 MiB state, context-independent), 11 full-attn layers (11.00 MiB latent cache at 512 ctx)
streaming read RIGHT NOW: 187.5 GB/s  (model resident; phases are priced against THIS)

wall: 2942.34 ms for 24 steps = 122.60 ms/tok = 8.16 tok/s
roofline at 187.5 GB/s with B_tok 19.761 G: 9.49 tok/s  ->  we are at 86%

[dprof] AR decode — decode step by sub-op, summed over 24 step(s) and all layers
[dprof] phase                        ms       %    calls     GB/tok     GB/s     %BW
[dprof] hc:pre_attn               27.83    0.9%     1080      0.035     30.6     16%
[dprof] norm:attn                  6.82    0.2%     1080          -        -       -
[dprof] ATTENTION               1659.02   56.6%     1080     11.950    172.9     92%
[dprof] hc:post_attn               7.14    0.2%     1080          -        -       -
[dprof] hc:pre_ffn                26.66    0.9%     1080      0.035     32.0     17%
[dprof] norm:ffn                   7.12    0.2%     1080          -        -       -
[dprof] FFN                     1037.93   35.4%     1080      6.307    145.8     78%
[dprof] hc:post_ffn                5.21    0.2%     1080          -        -       -
[dprof] embed                      0.18    0.0%       24          -        -       -
[dprof] head:mean                  0.31    0.0%       24          -        -       -
[dprof] lm_head                  153.74    5.2%       24      1.269    198.1    106%
[dprof]   attn:kda              1238.94   42.3%      816      9.366    181.4     97%
[dprof]   attn:mla               417.55   14.2%      264      2.584    148.5     79%
[dprof]     kda:qkv+conv         819.23   27.9%      816      6.850    200.7    107%
[dprof]     kda:gates             81.11    2.8%      816      0.500    147.9     79%
[dprof]     kda:norm_qk            4.47    0.2%      816          -        -       -
[dprof]     kda:recurrence        37.61    1.3%      816      0.305    194.7    104%
[dprof]     kda:out_norm           6.67    0.2%      816          -        -       -
[dprof]     kda:o_proj           282.12    9.6%      816      2.283    194.2    104%
[dprof]     mla:indexer            8.46    0.3%      264          -        -       -
[dprof]     mla:absorb_q          36.89    1.3%      264          -        -       -
[dprof]     mla:sdpa              14.67    0.5%      264          -        -       -
[dprof]     mla:o_proj           236.24    8.1%      264          -        -       -
[dprof]   ffn:moe                922.20   31.5%     1008      5.401    140.6     75%
[dprof]   ffn:dense              113.17    3.9%       72      0.906    192.1    102%
[dprof]     moe:router            26.63    0.9%     1008      0.050     45.1     24%
[dprof]     moe:w13+act          626.47   21.4%     1008      3.568    136.7     73%
[dprof]     moe:w2+combine       263.93    9.0%     1008      1.783    162.1     86%
[dprof] TOTAL                   2931.95  (122.16 ms/step, 8.19 tok/s)
DONE
