[dprof] enabled, 1048576 marks
engine: dense NVFP4 overlay ACTIVE
engine: 58840 tensors, 101.85 GiB resident, 45 layers, max_ctx 2112
engine: 34 KDA layers (145.56 MiB state, context-independent), 11 full-attn layers (45.38 MiB latent cache at 2112 ctx)
streaming read RIGHT NOW: 207.9 GB/s
prompt 256 tokens, 45 layers, widths: 16 32 64 128, 2 reps, ROUND-ROBIN

  rep 0  width 16     13416.6 ms   52.408 ms/tok     19.1 tok/s
  rep 0  width 32     13247.0 ms   51.746 ms/tok     19.3 tok/s
  rep 0  width 64     13183.9 ms   51.499 ms/tok     19.4 tok/s
  rep 0  width 128    13325.4 ms   52.052 ms/tok     19.2 tok/s
  rep 1  width 16     14559.4 ms   56.873 ms/tok     17.6 tok/s
  rep 1  width 32     14343.6 ms   56.029 ms/tok     17.8 tok/s
  rep 1  width 64     14321.8 ms   55.944 ms/tok     17.9 tok/s
  rep 1  width 128    14736.5 ms   57.565 ms/tok     17.4 tok/s

width      min ms/tok   med ms/tok  tok/s (min)
16             52.408       56.873         19.1
32             51.746       56.029         19.3
64             51.499       55.944         19.4
128            52.052       57.565         19.2

[dprof] prefill (all widths, all reps) — decode step by sub-op, summed over 2048 step(s) and all layers
[dprof] phase                        ms       %    calls     GB/tok     GB/s     %BW
[dprof] hc:pre_attn             2102.71    1.8%     2745      0.035     34.6     17%
[dprof] norm:attn                499.98    0.4%     2745          -        -       -
[dprof] ATTENTION              61356.50   53.7%     2745      3.990    133.2     64%
[dprof] hc:post_attn             420.01    0.4%     2745          -        -       -
[dprof] hc:pre_ffn              2105.66    1.8%     2745      0.035     34.5     17%
[dprof] norm:ffn                 486.29    0.4%     2745          -        -       -
[dprof] FFN                    46779.90   41.0%     2745      5.656    247.6    119%
[dprof] hc:post_ffn              415.24    0.4%     2745          -        -       -
[dprof] embed                     11.73    0.0%       61          -        -       -
[dprof] head:mean                  0.15    0.0%        9          -        -       -
[dprof] lm_head                   26.19    0.0%        9      0.357  27910.4  13422%
[dprof]   attn:kda             34156.15   29.9%     2074      3.014    180.7     87%
[dprof]   attn:mla             27194.05   23.8%      671      0.976     73.5     35%
[dprof]   ffn:moe              43896.24   38.4%     2562      5.401    252.0    121%
[dprof]   ffn:dense             2877.45    2.5%      183      0.255    181.4     87%
[dprof]     moe:router           372.64    0.3%     2562      0.050    274.8    132%
[dprof]     moe:w13+act        23599.37   20.7%     2562      3.568    309.6    149%
[dprof]     moe:w2+combine     19857.41   17.4%     2562      1.783    183.9     88%
[dprof] TOTAL                 114204.36  (55.76 ms/step, 17.93 tok/s)
