[dprof] enabled, 1048576 marks
engine: dense NVFP4 overlay ACTIVE
engine: 58840 tensors, 101.85 GiB resident, 45 layers, max_ctx 1088
engine: 34 KDA layers (145.56 MiB state, context-independent), 11 full-attn layers (23.38 MiB latent cache at 1088 ctx)
streaming read RIGHT NOW: 233.7 GB/s
prompt 256 tokens, 45 layers, widths: 16 32, 2 reps, ROUND-ROBIN

  rep 0  width 16     13126.3 ms   51.275 ms/tok     19.5 tok/s
  rep 0  width 32     12967.9 ms   50.656 ms/tok     19.7 tok/s
  rep 1  width 16     13735.5 ms   53.654 ms/tok     18.6 tok/s
  rep 1  width 32     13501.2 ms   52.739 ms/tok     19.0 tok/s

width      min ms/tok   med ms/tok  tok/s (min)
16             51.275       53.654         19.5
32             50.656       52.739         19.7

[dprof] prefill (all widths, all reps) — decode step by sub-op, summed over 1024 step(s) and all layers
[dprof] phase                        ms       %    calls     GB/tok     GB/s     %BW
[dprof] hc:pre_attn             1055.40    1.9%     2250      0.035     34.4     15%
[dprof] norm:attn                242.88    0.4%     2250          -        -       -
[dprof] ATTENTION              28507.00   50.5%     2250      3.990    143.3     61%
[dprof] hc:post_attn             206.01    0.4%     2250          -        -       -
[dprof] hc:pre_ffn              1059.92    1.9%     2250      0.035     34.3     15%
[dprof] norm:ffn                 240.80    0.4%     2250          -        -       -
[dprof] FFN                    24921.97   44.1%     2250      5.656    232.4     99%
[dprof] hc:post_ffn              207.21    0.4%     2250          -        -       -
[dprof] embed                      5.44    0.0%       50          -        -       -
[dprof] head:mean                  0.10    0.0%        5          -        -       -
[dprof] lm_head                   14.35    0.0%        5      0.357  25463.0  10895%
[dprof]   attn:kda             17191.70   30.4%     1700      3.014    179.5     77%
[dprof]   attn:mla             11310.03   20.0%      550      0.976     88.4     38%
[dprof]     mla:q_proj          1251.73    2.2%      550          -        -       -
[dprof]     mla:kv               215.44    0.4%      550          -        -       -
[dprof]     mla:indexer          521.70    0.9%    11968          -        -       -
[dprof]     mla:absorb_q        1762.07    3.1%      550          -        -       -
[dprof]     mla:sdpa            3015.68    5.3%    11968          -        -       -
[dprof]     mla:o_proj          4511.15    8.0%      550          -        -       -
[dprof]   ffn:moe              23482.78   41.6%     2100      5.401    235.5    101%
[dprof]   ffn:dense             1434.07    2.5%      150      0.255    181.9     78%
[dprof]     moe:router           203.67    0.4%     2100      0.050    251.4    108%
[dprof]     moe:w13+act        12814.75   22.7%     2100      3.568    285.1    122%
[dprof]     moe:w2+combine     10412.10   18.4%     2100      1.783    175.4     75%
[dprof] TOTAL                  56461.08  (55.14 ms/step, 18.14 tok/s)
