[dprof] enabled, 65536 marks
engine: 57604 tensors, 98.15 GiB resident, 45 layers, max_ctx 512
engine: 34 KDA layers (145.56 MiB state, context-independent), 11 full-attn layers (11.00 MiB latent cache at 512 ctx)
streaming read RIGHT NOW: 183.3 GB/s  (model resident; phases are priced against THIS)

wall: 2881.68 ms for 24 steps = 120.07 ms/tok = 8.33 tok/s
roofline at 183.3 GB/s with B_tok 19.761 G: 9.28 tok/s  ->  we are at 90%

[dprof] AR decode — decode step by sub-op, summed over 24 step(s) and all layers
[dprof] phase                        ms       %    calls     GB/tok     GB/s     %BW
[dprof] hc:pre_attn               29.03    1.0%     1080      0.035     29.3     16%
[dprof] norm:attn                  6.77    0.2%     1080          -        -       -
[dprof] ATTENTION               1667.61   58.1%     1080     11.950    172.0     94%
[dprof] hc:post_attn               5.22    0.2%     1080          -        -       -
[dprof] hc:pre_ffn                26.78    0.9%     1080      0.035     31.8     17%
[dprof] norm:ffn                   7.02    0.2%     1080          -        -       -
[dprof] FFN                      970.56   33.8%     1080      6.307    156.0     85%
[dprof] hc:post_ffn                5.20    0.2%     1080          -        -       -
[dprof] embed                      0.17    0.0%       24          -        -       -
[dprof] head:mean                  0.32    0.0%       24          -        -       -
[dprof] lm_head                  152.39    5.3%       24      1.269    199.9    109%
[dprof]   attn:kda              1245.08   43.4%      816      9.366    180.5     98%
[dprof]   attn:mla               419.99   14.6%      264      2.584    147.7     81%
[dprof]     kda:qkv+conv         823.29   28.7%      816      6.850    199.7    109%
[dprof]     kda:gates             80.73    2.8%      816      0.500    148.7     81%
[dprof]     kda:norm_qk            4.39    0.2%      816          -        -       -
[dprof]     kda:recurrence        35.94    1.3%      816      0.305    203.7    111%
[dprof]     kda:out_norm           5.12    0.2%      816          -        -       -
[dprof]     kda:o_proj           287.90   10.0%      816      2.283    190.3    104%
[dprof]     mla:indexer            8.17    0.3%      264          -        -       -
[dprof]     mla:absorb_q          37.23    1.3%      264          -        -       -
[dprof]     mla:sdpa              15.58    0.5%      264          -        -       -
[dprof]     mla:o_proj           235.82    8.2%      264          -        -       -
[dprof]   ffn:moe                857.34   29.9%     1008      5.401    151.2     82%
[dprof]   ffn:dense              110.63    3.9%       72      0.906    196.5    107%
[dprof]     moe:router            28.59    1.0%     1008      0.050     42.0     23%
[dprof]     moe:w13+act          547.93   19.1%     1008      3.568    156.3     85%
[dprof]     moe:w2+combine       275.57    9.6%     1008      1.783    155.3     85%
[dprof] TOTAL                   2871.06  (119.63 ms/step, 8.36 tok/s)
