[dprof] enabled, 65536 marks
engine: 57604 tensors, 98.15 GiB resident, 45 layers, max_ctx 512
engine: 34 KDA layers (145.56 MiB state, context-independent), 11 full-attn layers (11.00 MiB latent cache at 512 ctx)
streaming read RIGHT NOW: 239.5 GB/s  (model resident; phases are priced against THIS)

wall: 2895.07 ms for 24 steps = 120.63 ms/tok = 8.29 tok/s
roofline at 239.5 GB/s with B_tok 19.761 G: 12.12 tok/s  ->  we are at 68%

[dprof] AR decode — decode step by sub-op, summed over 24 step(s) and all layers
[dprof] phase                        ms       %    calls     GB/tok     GB/s     %BW
[dprof] hc:pre_attn               27.87    1.0%     1080      0.035     30.6     13%
[dprof] norm:attn                  6.75    0.2%     1080          -        -       -
[dprof] ATTENTION               1669.63   57.9%     1080     11.950    171.8     72%
[dprof] hc:post_attn               6.14    0.2%     1080          -        -       -
[dprof] hc:pre_ffn                27.47    1.0%     1080      0.035     31.0     13%
[dprof] norm:ffn                   7.15    0.2%     1080          -        -       -
[dprof] FFN                      981.58   34.0%     1080      6.307    154.2     64%
[dprof] hc:post_ffn                5.56    0.2%     1080          -        -       -
[dprof] embed                      0.16    0.0%       24          -        -       -
[dprof] head:mean                  0.33    0.0%       24          -        -       -
[dprof] lm_head                  152.14    5.3%       24      1.269    200.2     84%
[dprof]   attn:kda              1242.82   43.1%      816      9.366    180.9     76%
[dprof]   attn:mla               424.35   14.7%      264      2.584    146.1     61%
[dprof]     kda:qkv+conv         820.29   28.4%      816      6.850    200.4     84%
[dprof]     kda:gates             81.75    2.8%      816      0.500    146.8     61%
[dprof]     kda:norm_qk            4.47    0.2%      816          -        -       -
[dprof]     kda:recurrence        36.07    1.3%      816      0.305    202.9     85%
[dprof]     kda:out_norm           6.03    0.2%      816          -        -       -
[dprof]     kda:o_proj           286.74    9.9%      816      2.283    191.1     80%
[dprof]     mla:indexer            8.56    0.3%      264          -        -       -
[dprof]     mla:absorb_q          39.16    1.4%      264          -        -       -
[dprof]     mla:sdpa              14.84    0.5%      264          -        -       -
[dprof]     mla:o_proj           236.02    8.2%      264          -        -       -
[dprof]   ffn:moe                867.13   30.1%     1008      5.401    149.5     62%
[dprof]   ffn:dense              112.00    3.9%       72      0.906    194.1     81%
[dprof]     moe:router            27.07    0.9%     1008      0.050     44.3     19%
[dprof]     moe:w13+act          557.23   19.3%     1008      3.568    153.7     64%
[dprof]     moe:w2+combine       277.76    9.6%     1008      1.783    154.1     64%
[dprof] TOTAL                   2884.79  (120.20 ms/step, 8.32 tok/s)
