[dprof] enabled, 65536 marks
engine: 57604 tensors, 98.15 GiB resident, 45 layers, max_ctx 512
engine: 34 KDA layers (145.56 MiB state, context-independent), 11 full-attn layers (11.00 MiB latent cache at 512 ctx)
streaming read RIGHT NOW: 233.1 GB/s  (model resident; phases are priced against THIS)

wall: 2938.84 ms for 24 steps = 122.45 ms/tok = 8.17 tok/s
roofline at 233.1 GB/s with B_tok 19.761 G: 11.79 tok/s  ->  we are at 69%

[dprof] AR decode — decode step by sub-op, summed over 24 step(s) and all layers
[dprof] phase                        ms       %    calls     GB/tok     GB/s     %BW
[dprof] hc:pre_attn               28.00    1.0%     1080      0.035     30.4     13%
[dprof] norm:attn                  6.91    0.2%     1080          -        -       -
[dprof] ATTENTION               1658.30   56.6%     1080     11.950    172.9     74%
[dprof] hc:post_attn               6.41    0.2%     1080          -        -       -
[dprof] hc:pre_ffn                27.21    0.9%     1080      0.035     31.3     13%
[dprof] norm:ffn                   7.10    0.2%     1080          -        -       -
[dprof] FFN                     1037.93   35.4%     1080      6.307    145.8     63%
[dprof] hc:post_ffn                6.37    0.2%     1080          -        -       -
[dprof] embed                      0.18    0.0%       24          -        -       -
[dprof] head:mean                  0.35    0.0%       24          -        -       -
[dprof] lm_head                  149.46    5.1%       24      1.269    203.8     87%
[dprof]   attn:kda              1238.17   42.3%      816      9.366    181.5     78%
[dprof]   attn:mla               417.52   14.3%      264      2.584    148.5     64%
[dprof]     kda:qkv+conv         818.15   27.9%      816      6.850    200.9     86%
[dprof]     kda:gates             85.01    2.9%      816      0.500    141.2     61%
[dprof]     kda:norm_qk            4.67    0.2%      816          -        -       -
[dprof]     kda:recurrence        37.79    1.3%      816      0.305    193.7     83%
[dprof]     kda:out_norm           5.13    0.2%      816          -        -       -
[dprof]     kda:o_proj           279.71    9.6%      816      2.283    195.9     84%
[dprof]     mla:indexer            8.07    0.3%      264          -        -       -
[dprof]     mla:absorb_q          36.32    1.2%      264          -        -       -
[dprof]     mla:sdpa              15.01    0.5%      264          -        -       -
[dprof]     mla:o_proj           236.45    8.1%      264          -        -       -
[dprof]   ffn:moe                918.28   31.4%     1008      5.401    141.2     61%
[dprof]   ffn:dense              117.11    4.0%       72      0.906    185.7     80%
[dprof]     moe:router            26.62    0.9%     1008      0.050     45.1     19%
[dprof]     moe:w13+act          622.33   21.3%     1008      3.568    137.6     59%
[dprof]     moe:w2+combine       264.14    9.0%     1008      1.783    162.0     70%
[dprof] TOTAL                   2928.21  (122.01 ms/step, 8.20 tok/s)
