[dprof] enabled, 65536 marks
engine: 57604 tensors, 98.15 GiB resident, 45 layers, max_ctx 512
engine: 34 KDA layers (145.56 MiB state, context-independent), 11 full-attn layers (11.00 MiB latent cache at 512 ctx)
streaming read RIGHT NOW: 235.2 GB/s  (model resident; phases are priced against THIS)

wall: 2940.97 ms for 24 steps = 122.54 ms/tok = 8.16 tok/s
roofline at 235.2 GB/s with B_tok 19.761 G: 11.90 tok/s  ->  we are at 69%

[dprof] AR decode — decode step by sub-op, summed over 24 step(s) and all layers
[dprof] phase                        ms       %    calls     GB/tok     GB/s     %BW
[dprof] hc:pre_attn               28.02    1.0%     1080      0.035     30.4     13%
[dprof] norm:attn                  6.90    0.2%     1080          -        -       -
[dprof] ATTENTION               1655.77   56.5%     1080     11.950    173.2     74%
[dprof] hc:post_attn               5.61    0.2%     1080          -        -       -
[dprof] hc:pre_ffn                28.26    1.0%     1080      0.035     30.2     13%
[dprof] norm:ffn                   8.71    0.3%     1080          -        -       -
[dprof] FFN                     1033.63   35.3%     1080      6.307    146.4     62%
[dprof] hc:post_ffn                5.43    0.2%     1080          -        -       -
[dprof] embed                      0.22    0.0%       24          -        -       -
[dprof] head:mean                  0.32    0.0%       24          -        -       -
[dprof] lm_head                  157.84    5.4%       24      1.269    193.0     82%
[dprof]   attn:kda              1232.59   42.1%      816      9.366    182.4     78%
[dprof]   attn:mla               420.69   14.4%      264      2.584    147.4     63%
[dprof]     kda:qkv+conv         811.36   27.7%      816      6.850    202.6     86%
[dprof]     kda:gates             79.16    2.7%      816      0.500    151.6     64%
[dprof]     kda:norm_qk            4.38    0.1%      816          -        -       -
[dprof]     kda:recurrence        37.34    1.3%      816      0.305    196.0     83%
[dprof]     kda:out_norm           7.25    0.2%      816          -        -       -
[dprof]     kda:o_proj           285.64    9.7%      816      2.283    191.8     82%
[dprof]     mla:indexer            8.19    0.3%      264          -        -       -
[dprof]     mla:absorb_q          37.63    1.3%      264          -        -       -
[dprof]     mla:sdpa              14.90    0.5%      264          -        -       -
[dprof]     mla:o_proj           238.80    8.1%      264          -        -       -
[dprof]   ffn:moe                920.21   31.4%     1008      5.401    140.9     60%
[dprof]   ffn:dense              110.98    3.8%       72      0.906    195.9     83%
[dprof]     moe:router            26.58    0.9%     1008      0.050     45.1     19%
[dprof]     moe:w13+act          626.54   21.4%     1008      3.568    136.7     58%
[dprof]     moe:w2+combine       262.13    8.9%     1008      1.783    163.2     69%
[dprof] TOTAL                   2930.71  (122.11 ms/step, 8.19 tok/s)
